workId,lang,decade,dcdReal,characterId,cl,isGrp,cGrp,persName,roleDesc,sex,age,profession,isComposedProf,normalizedProfession,rdmNbr,chosenGrp,chosenGrp2, modifier,professionalGroup,profGroupCoarse,profGroupCoarser,role,title,socialClass,origin,raceOrEthnicity,accentDialect,relations,normalizedRelation,genre,comments
1,fre,1870,1870,48.0,0.0,1.0,,Marmitons,,M,,marmitons,,kitchen helper,,service and sales,,,service and sales,commerce and services,bourgeoisie,,,LC,,,,,,,
2,fre,1870,1870,1.0,1.0,0.0,,Montacabère,,M,,,,,,,,,,,,,,,,,,,,,
2,fre,1870,1870,2.0,1.0,0.0,,Romanèche,,M,,,,,,,,,,,,,,,,,,,,,
2,fre,1870,1870,3.0,1.0,0.0,,Prosper,,M,,,,,,,,,,,,,,,,,,,,,
2,fre,1870,1870,4.0,1.0,0.0,,Herminie,,F,,,,,,,,,,,,,,,,,,,,,
2,fre,1870,1870,5.0,1.0,0.0,,Estelle,,F,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,1.0,1.0,0.0,,De Chantelaur,,M,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,2.0,1.0,0.0,,Pinteau,,M,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,3.0,1.0,0.0,,De Morard,,M,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,4.0,1.0,0.0,,Des Vergettes,,M,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,5.0,1.0,0.0,,Un laquais,,M,,laquais,,valet,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
3,fre,1880,1880,6.0,1.0,0.0,,Marquise de Cernois,,F,,,,,,aristocrats,,,aristocrats,nobility,aristocracy,,marquise,UC,,,,,,,
3,fre,1880,1880,7.0,1.0,0.0,,Hélène de Chantelaur,,F,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,8.0,1.0,0.0,,Renée de Cernois,,F,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,9.0,1.0,0.0,,Julie,,F,,,,,,,,,,,,,,,,,,,,,
3,fre,1880,1880,1.0,1.0,0.0,,Gévaudan,,M,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,2.0,1.0,0.0,,Saint-Galmier,,M,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,3.0,1.0,0.0,,Alfred,,M,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,4.0,1.0,0.0,,Séraphin,,M,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,5.0,1.0,0.0,,Plucheux,,M,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,6.0,1.0,0.0,,Michette,,F,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,7.0,1.0,0.0,,Laure,,F,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,8.0,1.0,0.0,,Rachel,,F,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,9.0,1.0,0.0,,Léonie,,F,,,,,,,,,,,,,,,,,,,,,
4,fre,1880,1880,10.0,1.0,0.0,,Une négresse,,F,,,,,,,,,,,,,,,,Black,,,,,
4,fre,1880,1880,11.0,1.0,0.0,,Un groom,,M,,groom,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,12.0,1.0,0.0,,Un domestique boîteux,,M,,domestique,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,13.0,1.0,0.0,,Premier domestique,,M,,domestique,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,14.0,1.0,0.0,,Le mélodiste,,M,,mélodiste,,composer,,artists,,,artists,artists,artists,,,LMC,,,,,,,
4,fre,1880,1880,15.0,1.0,0.0,,Deuxième domestique,,M,,domestique,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,16.0,1.0,0.0,,Un gardien,,M,,gardien,,housekeeper,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,17.0,1.0,0.0,,Troisième domestique,,M,,domestique,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
4,fre,1880,1880,18.0,1.0,0.0,,Un gardien,,M,,gardien,,guard,,police and security,,,police and security,government and law enforcement,authority,,,LC,,,,,,,
4,fre,1880,1880,19.0,0.0,1.0,,Domestiques,,U,,domestique,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
5,fre,1870,1870,1.0,1.0,0.0,,Gregoire,baigneur,M,,baigneur,,,,hobby,,,hobby,other,other,,,,,,,,,,
5,fre,1870,1870,2.0,1.0,0.0,,Comte Corniski,diplomate,M,,diplomate,,diplomat,,government officials,,,government officials,government and law enforcement,authority,,comte,UC,,,,,,,aristocrat as well
5,fre,1870,1870,3.0,1.0,0.0,,Anatole de Beaupersil,,M,,,,,,,,,,,,,,,,,,,,,
5,fre,1870,1870,4.0,1.0,0.0,,Narcisse,premier garçon au casino,M,,premier garçon,,casino helper,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
5,fre,1870,1870,5.0,1.0,0.0,,Baptiste,garçon d'hôtel,M,,garçon d'hôtel,,hotel helper,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
5,fre,1870,1870,6.0,1.0,0.0,,Dupiton,,M,,,,,,,,,,,,,,,,,,,,,
5,fre,1870,1870,7.0,1.0,0.0,,Desablettes,secrétaire du comte,M,,secrétaire du comte,,secretary,,intermediate professions,,,intermediate professions,bourgeoisie other,bourgeoisie,,,LMC,,,,secrétaire(2),secretary(2),,
5,fre,1870,1870,8.0,1.0,0.0,,Un monsieur,,M,,,,,,,,,,,,,,,,,,,,,
5,fre,1870,1870,9.0,1.0,0.0,,Un garçon de bains,,M,,garçon de bains,,hotel helper,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
5,fre,1870,1870,10.0,1.0,0.0,,Un garçon de café,,M,,garçon de café,,waiter,,service and sales,,,service and sales,commerce and services,bourgeoisie,,,LC,,,,,,,
5,fre,1870,1870,11.0,1.0,0.0,,Un valet de chambre,,M,,valet de chambre,,hotel valet,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,"TLFi : valet de chambre : ""Domestique attaché au service personnel de quelqu'un ou des clients d'un hôtel (v. aussi camérier, camériste, chambrière)"""
5,fre,1870,1870,12.0,1.0,0.0,,Un greffier,,M,,greffier,,court secretary,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UMC,,,,,,,
5,fre,1870,1870,13.0,1.0,0.0,,La comtesse Corniska,,F,,,,,,aristocrats,,,aristocrats,nobility,aristocracy,,comtesse,UC,,,,,,,
5,fre,1870,1870,14.0,1.0,0.0,,La veuve Sillery,,F,,,,,,,,,,,,,veuve,,,,,,,,
5,fre,1870,1870,15.0,1.0,0.0,,Georgina,,F,,,,,,,,,,,,,,,,,,,,,
5,fre,1870,1870,16.0,1.0,0.0,,Annette,,F,,,,,,,,,,,,,,,,,,,,,
5,fre,1870,1870,17.0,1.0,0.0,,Un chasseur,,M,,chasseur,,hunter,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
5,fre,1870,1870,18.0,1.0,0.0,18-21,Amanda,Cocottes,F,,cocotte,,,,,,,,,,,,UMC,,,,,,,"TLFi : Cocotte : Vieilli, péj. Femme de mœurs légères richement entretenue"
5,fre,1870,1870,19.0,1.0,0.0,,Castagnette,,F,,cocotte,,,,,,,,,,,,UMC,,,,,,,
5,fre,1870,1870,20.0,1.0,0.0,,Cora,,F,,cocotte,,,,,,,,,,,,UMC,,,,,,,
5,fre,1870,1870,21.0,1.0,0.0,,Juliette,,F,,cocotte,,,,,,,,,,,,UMC,,,,,,,
5,fre,1870,1870,22.0,1.0,0.0,,Une pêcheuse de crevettes,,F,,pêcheuse,,,,hobby,,,hobby,other,other,,,,,,,,,,we don't know if professionals or not
5,fre,1870,1870,23.0,0.0,1.0,,Voyageurs,,M,,voyageurs,,traveller,,hobby,,,hobby,other,other,,,,,,,,,,
5,fre,1870,1870,24.0,0.0,1.0,,Voyageuses,,F,,voyageuses,,traveller,,hobby,,,hobby,other,other,,,,,,,,,,
5,fre,1870,1870,25.0,0.0,1.0,,Baigneurs,,M,,baigneurs,,swimmer,,hobby,,,hobby,other,other,,,,,,,,,,
5,fre,1870,1870,26.0,0.0,1.0,,Baigneuses,,F,,baigneuses,,swimmer,,hobby,,,hobby,other,other,,,,,,,,,,
5,fre,1870,1870,27.0,0.0,1.0,,Pêcheurs,,M,,pêcheurs,,fisher,,hobby,,,hobby,other,other,,,,,,,,,,we don't know if professionals or not
5,fre,1870,1870,28.0,0.0,1.0,,Pêcheuses,,F,,pêcheuses,,fisher,,hobby,,,hobby,other,other,,,,,,,,,,we don't know if professionals or not
7,fre,1890,1890,1.0,1.0,0.0,,Canasson,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,2.0,1.0,0.0,,Le Cardunois,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,3.0,1.0,0.0,,Ludovic,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,4.0,1.0,0.0,,Justin,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,5.0,1.0,0.0,,Pastourel,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,6.0,1.0,0.0,,Mulot,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,7.0,1.0,0.0,,Guerinot,,M,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,8.0,1.0,0.0,,Madame Roussin,,F,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,9.0,1.0,0.0,,Éliane,,F,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,10.0,1.0,0.0,,Caroline,,F,,,,,,,,,,,,,,,,,,,,,
7,fre,1890,1890,11.0,1.0,0.0,,Rosalie,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,1.0,1.0,0.0,,La Raynette,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,2.0,1.0,0.0,,Pont-Biquet,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,3.0,1.0,0.0,,Bouzu,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,4.0,1.0,0.0,,Toupance,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,5.0,1.0,0.0,,Jacques Dubois,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,6.0,1.0,0.0,,Dagobert,,M,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,7.0,1.0,0.0,,Un garçon d'hôtel,,M,,garçon d'hôtel,,hotel helper,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
8,fre,1890,1890,8.0,1.0,0.0,,Madame Pont-Biquet,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,9.0,1.0,0.0,,Mathilde,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,10.0,1.0,0.0,,Gabrielle,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,11.0,1.0,0.0,,Madame Godard,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,12.0,1.0,0.0,,Madame Dumesnil,,F,,,,,,,,,,,,,,,,,,,,,
8,fre,1890,1890,13.0,1.0,0.0,,Julie,,F,,,,,,,,,,,,,,,,,,,,,
9,fre,1880,1880,1.0,1.0,0.0,,Le Comte Wallanoff,,M,,,,,,aristocrats,,,aristocrats,nobility,aristocracy,,comte,UC,,,,,,,
9,fre,1880,1880,2.0,1.0,0.0,,Morisset,,M,,,,,,,,,,,,,,,,,,,,,
9,fre,1880,1880,3.0,1.0,0.0,,Philippe de Géry,,F,,,,,,,,,,,,,,,,,,,,,
9,fre,1880,1880,4.0,1.0,0.0,,Madame de Géry,,F,,,,,,,,,,,,,,,,,,,,,
9,fre,1880,1880,5.0,1.0,0.0,,Valentine,,F,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,1.0,1.0,0.0,,Barillon,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,2.0,1.0,0.0,,Jambart,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,3.0,1.0,0.0,,Brigot,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,4.0,1.0,0.0,,Planturel,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,5.0,1.0,0.0,,Patrice Surcouf,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,6.0,1.0,0.0,,Flamèche,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,7.0,1.0,0.0,,Topeau,,M,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,8.0,1.0,0.0,,Un petit télégraphiste,,M,,télégraphiste,,telegraph messenger,,service and sales,,,service and sales,commerce and services,bourgeoisie,,,LC,,,,,,,
10,fre,1890,1890,9.0,1.0,0.0,,Madame Jambart,,F,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,10.0,1.0,0.0,,Virginie,,F,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,11.0,1.0,0.0,,Ursule,,F,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,12.0,0.0,1.0,,Témoins,(rôles muets),U,,,,,,,,,,,,,témoin de mariage,,,,,témoins(4),witness(4),,
10,fre,1890,1890,13.0,0.0,1.0,,Parents,,B,,,,,,,,,,,,,,,,,,,,,
10,fre,1890,1890,14.0,0.0,1.0,,Invités,,U,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,1.0,1.0,0.0,,Ribadier,,M,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,2.0,1.0,0.0,,Thommereux,,M,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,3.0,1.0,0.0,,Savinet,,M,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,4.0,1.0,0.0,,Gusman,,M,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,5.0,1.0,0.0,,Angèle,,F,,,,,,,,,,,,,,,,,,,,,
11,fre,1890,1890,6.0,1.0,0.0,,Sophie,,F,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,1.0,1.0,0.0,,Charançon,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,2.0,1.0,0.0,,Samuel,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,3.0,1.0,0.0,,Edouard Lambert,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,4.0,1.0,0.0,,Caponot,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,5.0,1.0,0.0,,Pinçon,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,6.0,1.0,0.0,,Gratin,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,7.0,1.0,0.0,,Le Président,,M,,président,,presiding judge,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UC,,,,,,,légifrance : Le tribunal correctionnel est composé d'un président et de deux juges.
12,fre,1880,1880,8.0,1.0,0.0,,Baloche,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,9.0,1.0,0.0,,L’huissier,,M,,huissier,,court bailiff,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UC,,,,,,,"TLFi : huissier:  DROIT. Officier ministériel ayant pour charge de constater des faits, de signifier les actes de procédure et de mettre à exécution les décisions de justice et les actes authentiques ayant force exécutoire"
12,fre,1880,1880,10.0,1.0,0.0,,Le Concierge,,M,,concierge,,prison head,,police and security,,,police and security,government and law enforcement,authority,,,UMC,,,,,,,"TLFi : Concierge : ""Personne ayant une fonction de direction dans une prison"""
12,fre,1880,1880,11.0,1.0,0.0,,Premier garde,,M,,garde,,guard,,police and security,,,police and security,government and law enforcement,authority,,,LC,,,,,,,"TLFi : garde : HIST. Hommes en armes, soldat faisant partie d'une garde. Garde communal, mobile, national, noble, pontifical, républicain. Ici ""garde municipal"""
12,fre,1880,1880,12.0,1.0,0.0,,Deuxième garde,,M,,garde,,guard,,police and security,,,police and security,government and law enforcement,authority,,,LC,,,,,,,
12,fre,1880,1880,13.0,1.0,0.0,,Ugène,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,14.0,1.0,0.0,,Un accusé,,M,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,15.0,1.0,0.0,,Le greffier,,M,,greffier,,court secretary,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UMC,,,,,,,
12,fre,1880,1880,16.0,1.0,0.0,,Gabrielle,,F,,,,,,,,,,,,,,,,,,,,,
12,fre,1880,1880,17.0,1.0,0.0,,Miranda,,F,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,1.0,1.0,0.0,,Pinglet,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,2.0,1.0,0.0,,Paillardin,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,3.0,1.0,0.0,,Mathieu,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,4.0,1.0,0.0,,Maxime,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,5.0,1.0,0.0,,Boulot,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,6.0,1.0,0.0,,Bastien,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,7.0,1.0,0.0,,Le Commissaire,,M,,commissaire,,police commissioner,,police and security,,,police and security,government and law enforcement,authority,,,UC,,,,,,,
13,fre,1890,1890,8.0,1.0,0.0,,Ernest,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,9.0,1.0,0.0,,Chervet,,M,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,10.0,1.0,0.0,,Premier Commissionnaire,,M,,commissionnaire,,delivery person,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
13,fre,1890,1890,11.0,1.0,0.0,,Marcelle,femme de Paillardin,F,,,,,,,,,,,,,,,,,,femme(2),wife(2),,
13,fre,1890,1890,12.0,1.0,0.0,,Angélique,femme de Pinglet,F,,,,,,,,,,,,,,,,,,femme(1),wife(1),,
13,fre,1890,1890,13.0,1.0,0.0,,Victoire,femme de chambre de Pinglet.,F,,femme de chambre,,lady's maid,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,femme de chambre(1),lady's maid(1),,
13,fre,1890,1890,14.0,1.0,0.0,,Violette,fille de Mathieu,F,,,,,,,,,,,,,,,,,,fille(3),daughter(3),,
13,fre,1890,1890,15.0,1.0,0.0,,Marguerite,fille de Mathieu,F,,,,,,,,,,,,,,,,,,fille(3),daughter(3),,
13,fre,1890,1890,16.0,1.0,0.0,,Paquerette,fille de Mathieu,F,,,,,,,,,,,,,,,,,,fille(3),daughter(3),,
13,fre,1890,1890,17.0,1.0,0.0,,Pervenche,fille de Mathieu,F,,,,,,,,,,,,,,,,,,fille(3),daughter(3),,
13,fre,1890,1890,18.0,1.0,0.0,,Une Dame,,F,,,,,,,,,,,,,,,,,,,,,
13,fre,1890,1890,19.0,0.0,1.0,,Quatre commissaires,,M,,commissaires,,police commissioner,,police and security,,,police and security,government and law enforcement,authority,,,UC,,,,,,,
13,fre,1890,1890,20.0,0.0,1.0,,Agents de polices,,M,,agents de police,,police officer,,police and security,,,police and security,government and law enforcement,authority,,,LMC,,,,,,,
13,fre,1890,1890,21.0,0.0,1.0,,Gardiens de la paix,,M,,gardiens de la paix,,police officer,,police and security,,,police and security,government and law enforcement,authority,,,LMC,,,,,,,
14,fre,1890,1890,1.0,1.0,0.0,,Paginet,,M,,,,,,,,,,,,,,,,,,,,,
14,fre,1890,1890,2.0,1.0,0.0,,Livergin,,M,,,,,,,,,,,,,,,,,,,,,
14,fre,1890,1890,3.0,1.0,0.0,,Plumarel,,M,,,,,,,,,,,,,,,,,,,,,
14,fre,1890,1890,4.0,1.0,0.0,,Dardillon,,M,,,,,,,,,,,,,,,,,,,,,
14,fre,1890,1890,5.0,1.0,0.0,,Rasanville,,M,,,,,,,,,,,,,,,,,,,,,
