workId,lang,decadePrint,decadeFirstPrint,decade,decadeOld,diff,characterId,cl,isGrp,cGrp,persName,roleDesc,sex,age,profession,normalizedProfession,modifier,professionalGroupMethal,professionalGroupNoVal,professionalGroup,profGrpSelected,profGrpCoarse,profGrpCoarser,role,title,socialClassOrig,socialClassAuto,socialClass,cfSoc,origin,raceOrEthnicity,accentDialect,relations,normalizedRelation,genre,comments
004,als,1930,1890,1890,,40,4,1,0,,Jerry,sein Freund,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,UMC,LC,UMC,0,,,,Freund(3),friend(3),,
004,als,1930,1890,1890,,40,5,1,0,,Pfeffer,Sohn eines Epiciers aus der Stadt,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,6,1,0,,Müller,Regierungsassessor,M,,Regierungsassessor,assessor,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,UC,UMC,UC,0,,,,,,,
004,als,1930,1890,1890,,40,7,1,0,,Lehrer,,M,,Lehrer,teacher,,intermediate professionals,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UMC,UMC,UMC,0,,,,,,,
004,als,1930,1890,1890,,40,8,1,0,,Morte Velte,Gemeinderatsmitglieder,,,Gemeinderatsmitglied; Bauer,,,,government officials,government officials,government officials,government & law enforcement,authority,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,9,1,0,,Schiere Hans,,M,,Gemeinderatsmitglied; Bauer,mayor,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,LMC,UMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,10,1,0,,Dirrebirels Dicker,,M,,Gemeinderatsmitglied; Bauer,farmer|village councilor,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LMC,LMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,11,1,0,,Giltbür,,M,,Gemeinderatsmitglied; Bauer,farmer|village councilor,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LMC,LMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,12,1,0,,Nejbierel,,M,,Gemeinderatsmitglied; Bauer,farmer|village councilor,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LMC,LMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,13,1,0,,Ein Velocipedist,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,14,1,0,,Doni,ein als Kellner funktionierender Bauernbursche,M,,Kellner;Bauernbursche,waiter|farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,15,1,0,,Ein Lump,,M,,,,,,,,,,,,,LC,#N/A,LC,0,,,,,,,
004,als,1930,1890,1890,,40,16,1,0,,Dorfpolizist,,M,,Polizist,policeman,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,17,1,0,,Briefbote,,M,,Briefbote,mail carrier,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,18,1,0,,Besitzer eines Messtistandes,,M,,Besitzer eines Messtistandes,fairground stand owner,,service & sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
004,als,1930,1890,1890,,40,19,1,0,,Marie,Tochter des Herrn Maire,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(1),daughter(1),,
004,als,1930,1890,1890,,40,20,1,0,,Grethl,Tochter des Herrn Maire,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(1),daughter(1),,
004,als,1930,1890,1890,,40,21,1,0,,Velocipedistin,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,22,1,0,,Fränz,alte Magd beim Herrn Maire,F,,Magd,domestic worker,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,23,1,1,1,"Bauern, Bauernburschen, Bauernmächen",,B,,,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,24,0,1,1,Bauern,,U,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,25,0,1,1,Die Sänger,,U,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,26,0,0,,Ein Anderer,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,27,0,0,,Ein Anderer,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,28,0,0,,Ein Anderer,,M,,,,,,,,,,,,,LC,#N/A,LC,0,,,,,,,
004,als,1930,1890,1890,,40,29,0,0,,Bauernbursche,,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,30,0,0,,Meykäthel,,M,,,musician,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,LC,LMC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,31,0,0,,Aelterer Bauer,,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,32,0,0,,Anderer Bauer,,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,33,0,1,1,Gäste an einem anderen Tisch,,U,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,34,0,0,,Ein Anderer,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,35,0,1,,Die Bauern,,U,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,36,0,1,,"Die Bauern, Burschen und Mädchen",,B,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
004,als,1930,1890,1890,,40,37,0,0,,Orgelmann,,M,,Orgelmann,musician,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,LC,LMC,LC,0,,,,,,,
005,als,0,1920,1920,,0,1,1,0,,Meyer,e G'schäftsmann,M,,G'schäftsmann,businessman,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
005,als,0,1920,1920,,0,2,1,0,,Jean,syner valet-de-chambre,M,,valet-de-chambre,valet,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
005,als,0,1920,1920,,0,3,1,0,,Emil,"e Dienschtbott, Frind vum Jean",M,,Dienschtbott,valet,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Frind(2),friend(2),,
006,als,0,1930,1930,,0,1,1,0,,Madame Schweberle,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
006,als,0,1930,1930,,0,2,1,0,,Oscar,"ihr Sohn, Kaufmann",M,,Kaufmann,merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,Sohn(1),son(1),,
006,als,0,1930,1930,,0,3,1,0,,Madame Lewermann,veuve,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
006,als,0,1930,1930,,0,4,1,0,,Suzanne,ihri Nièce,F,,,,,,,,,,,,,LMC,#N/A,LMC,0,,,,Nièce(1),niece(1),,
006,als,0,1930,1930,,0,5,1,0,,Jean Brey,Kaufmann,M,,Kaufmann,merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
006,als,0,1930,1930,,0,6,1,0,,Schakob,Garçon vum Land,M,,Garçon,waiter,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LC,LC,LC,0,,,,,,,
007,als,0,1890,1890,,0,1,1,0,,Anatole Stieffatre,"Proprietär, früehjer Epicier",M,,Proprietär|früehjer Epicier,landlord|grocer,,rentiers,rentiers,rentiers,rentiers,rentiers,bourgeoisie,,,UMC,UMC,UMC,0,,,,,,,
007,als,0,1890,1890,,0,2,1,0,,Sophie,sini Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
007,als,0,1890,1890,,0,3,1,0,,Cécile,sini Magd,F,,Magd,housemaid,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Magd(1),maid(1),,
007,als,0,1890,1890,,0,4,1,0,,Désiré Enishänsel,Abedeeker en retraite,M,,Abedeeker en retraite,pharmacist,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UMC,UC,UMC,0,,,,,,,
007,als,0,1890,1890,,0,5,1,0,,Jules Karcher,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
007,als,0,1890,1890,,0,6,1,0,,Barthélemy Schanté,,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
007,als,0,1890,1890,,0,7,1,0,,É Kommissionär,,M,,,deliverer / helper,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LC,UMC,LC,0,,,,,,,
008,als,0,1910,1910,,0,1,1,0,,Daniel Wendling,Wirt,M,,Wirt,taverner / innkeeper,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
008,als,0,1910,1910,,0,2,1,0,,Lissel,sini Doochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Doochter(1),daughter(1),,
008,als,0,1910,1910,,0,3,1,0,,Schorsch Peterhänsel,Brandmeischter,M,,Brandmeischter,firefighter director,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
008,als,0,1910,1910,,0,4,1,0,,Theres,sini Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(3),wife(3),,
008,als,0,1910,1910,,0,5,1,0,,Andrees Bottjuckel,Naachtwächter,M,,Naachtwächter,night watchman,,elementary professions,police & security,police & security,police & security,government & law enforcement,authority,,,LC,LC,LC,0,,,,,,,
008,als,0,1910,1910,,0,6,1,0,,Velde Umecker,Korperal,M,,Korperal,firefighter (caporal),,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
008,als,0,1910,1910,,0,7,1,0,,Michel Ohlmershans,Spritzemeischter,M,,Spritzemeischter,head firefighter,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
008,als,0,1910,1910,,0,8,1,0,,Philipp Stawalter,e Bumbié,M,,e Bumbié,firefighter,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
008,als,0,1910,1910,,0,9,1,1,,"Bumbié, Tambourineurs un Clairons, Büüreburscht un Büüremaidle",,B,,,n/a,,n/a,unknown,unknown,unknown,other,other,,,LC,LC,LC,0,,,,,,,
008,als,0,1910,1910,,0,10,0,1,,Bumbié,,U,,Bumbié,firefighter,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LC,LMC,LC,0,,,,,,,
008,als,0,1910,1910,,0,11,0,1,,Tambourineurs,,U,,Tambourineurs,musician,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,LC,LMC,LC,0,,,,,,,
008,als,0,1910,1910,,0,12,0,1,,Clairons,,U,,Clairons,musician,,"professionals, scientific, technical",artists,artists,artists,artists,artists,,,LC,LMC,LC,0,,,,,,,
008,als,0,1910,1910,,0,13,0,1,,Büüreburscht,,M,,Büüreburscht,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
008,als,0,1910,1910,,0,14,0,1,,Büüremaidle,,F,,Büüremaidle,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
009,als,0,1920,1920,,0,1,1,0,,René Bimbernell,Sportsmann,M,,Sportsmann,athlete,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
009,als,0,1920,1920,,0,2,1,0,,Lucie,sine Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
009,als,0,1920,1920,,0,3,1,0,,Mme. Wermischell,ihri Frindin,F,,,,,,,,,,,,,,#N/A,,0,,,,Frindin(2),friend(2),,
009,als,0,1920,1920,,0,4,1,0,,Emil Schrumpel,Sportsmann,M,,Sportsmann,athlete,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
009,als,0,1920,1920,,0,5,1,1,,Mehrere Mitglieder vum S. C. „Preßluft“,,U,,Sportsmann,athlete,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
010,als,0,1900,1900,,0,1,1,0,,Assessor Strehlau,,M,,Assesor,assessor,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,UC,UMC,UC,0,,,,,,,
010,als,0,1900,1900,,0,2,1,0,,Benjamin Roos,Geschäftsagent,M,,Geschäftsagent,businessman,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,LMC,LMC,LMC,0,,,,,,,
010,als,0,1900,1900,,0,3,1,0,,Seligsohn,Rechtsanwalt,M,,Rechtsanwalt,lawyer,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
010,als,0,1900,1900,,0,4,1,0,,Adolf Boller,Versicherungsbeamter,M,,Versicherungsbeamter,insurance clerk,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,UMC,LMC,UMC,0,,,,,,,
010,als,0,1900,1900,,0,5,1,0,,Dr. Jundt,Rechtsanwalt,M,,Rechtsanwalt,lawyer,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
